transaction_id,account_id,branch_id,date_id,transaction_type,payment_mode,amount
900061,5075,1,324,Debit,UPI,118614
900062,5072,5,163,Credit,Salary,197820
900063,5016,8,183,Credit,IMPS,146279
900064,5044,10,163,Debit,IMPS,148330
900065,5030,10,114,Credit,IMPS,58135
900066,5018,4,136,Debit,NEFT,61710
900067,5008,7,267,Debit,Card,147731
900068,5047,7,238,Debit,NEFT,426
900069,5049,9,348,Credit,ATM,194413
900070,5024,5,158,Credit,ATM,141715
900071,5008,3,19,Credit,NEFT,188940
900072,5049,6,140,Debit,Cash,80721
900073,5015,5,332,Debit,NEFT,189265
900074,5023,9,346,Debit,Card,26266
900075,5009,7,146,Credit,IMPS,129906
900076,5039,4,344,Debit,NEFT,116291
900077,5100,6,231,Debit,NEFT,183924
900078,5072,1,124,Credit,Salary,94520
900079,5024,2,127,Debit,IMPS,192727
900080,5073,4,311,Credit,Card,13184
900081,5052,2,238,Debit,Cash,164605
900082,5005,2,203,Credit,Cash,191000
900083,5073,7,354,Debit,Card,122578
900084,5097,9,306,Debit,ATM,137740
900085,5073,6,125,Credit,Salary,10816
900086,5029,6,26,Credit,UPI,92675
900087,5013,4,256,Debit,Salary,29774
900088,5032,7,272,Credit,Salary,52013
900089,5061,9,161,Credit,UPI,181344
900090,5054,1,209,Debit,Cash,112674
900091,5050,6,154,Credit,NEFT,189035
900092,5069,4,298,Debit,UPI,21853
900093,5012,3,220,Debit,IMPS,185888
900094,5068,6,212,Debit,UPI,122487
900095,5036,7,49,Credit,Cash,141656
900096,5041,3,244,Credit,NEFT,138936
900097,5075,3,138,Credit,NEFT,120496
900098,5081,5,224,Debit,UPI,92291
900099,5042,7,198,Credit,UPI,192320
900100,5025,1,169,Credit,NEFT,156352
900101,5001,1,278,Credit,Card,164439
900102,5044,10,128,Credit,IMPS,113234
900103,5006,9,266,Debit,IMPS,142264
900104,5045,3,20,Credit,Cash,67099
900105,5052,2,215,Credit,NEFT,43542
900106,5042,3,155,Debit,Card,71710
900107,5087,3,327,Credit,ATM,102917
900108,5056,9,320,Credit,Cash,103180
900109,5091,5,42,Credit,ATM,196491
900110,5018,9,196,Credit,IMPS,111593
900111,5062,9,218,Debit,Card,115046
900112,5044,4,38,Credit,UPI,150321
900113,5064,8,96,Debit,UPI,170269
900114,5007,9,67,Debit,Salary,89116
900115,5039,3,313,Debit,UPI,9934
900116,5046,6,365,Credit,ATM,134168
900117,5084,7,19,Credit,UPI,198072
900118,5015,5,361,Debit,UPI,158575
900119,5055,9,63,Debit,ATM,181585
900120,5064,1,293,Debit,ATM,191386
900121,5052,2,271,Credit,UPI,85939
900122,5088,2,296,Debit,NEFT,16426
900123,5031,9,218,Debit,Cash,97966
900124,5059,3,337,Credit,Cash,190723
900125,5048,7,267,Credit,Salary,192318
900126,5083,3,134,Credit,NEFT,19857
900127,5084,8,158,Debit,ATM,169789
900128,5071,5,98,Debit,UPI,74517
900129,5065,4,207,Debit,IMPS,151279
900130,5025,8,245,Credit,Salary,10493
900131,5083,9,166,Debit,UPI,135136
900132,5035,9,72,Credit,Cash,194987
900133,5089,6,23,Debit,ATM,152076
900134,5004,6,100,Debit,Cash,149042
900135,5052,7,215,Credit,NEFT,108979
900136,5034,7,194,Credit,Card,174705
900137,5037,2,165,Credit,NEFT,22105
900138,5004,7,107,Credit,ATM,96155
900139,5026,4,291,Debit,Card,109231
900140,5094,9,22,Credit,IMPS,117359
900141,5051,4,324,Debit,UPI,26308
900142,5019,9,254,Debit,UPI,72890
900143,5043,2,185,Debit,Salary,154974
900144,5010,1,101,Debit,NEFT,41819
900145,5098,7,262,Debit,UPI,143412
900146,5039,8,202,Credit,ATM,164492
900147,5014,6,9,Credit,IMPS,126060
900148,5035,7,288,Debit,NEFT,55509
900149,5008,8,109,Debit,Card,124624
900150,5093,3,85,Debit,NEFT,80850
900151,5006,3,207,Credit,ATM,72159
900152,5100,10,327,Debit,UPI,4959
900153,5040,8,312,Credit,UPI,96719
900154,5097,3,18,Debit,IMPS,170511
900155,5027,10,353,Credit,Salary,95708
900156,5080,5,238,Debit,ATM,163684
900157,5090,4,259,Debit,Card,183441
900158,5091,7,173,Credit,ATM,78952
900159,5027,5,327,Credit,IMPS,198553
900160,5015,6,202,Credit,ATM,99154
900161,5079,3,90,Debit,UPI,127945
900162,5087,3,176,Debit,Card,13448
900163,5082,1,281,Credit,Card,19420
900164,5088,10,11,Debit,Cash,161103
900165,5096,1,296,Debit,UPI,175948
900166,5097,2,48,Credit,UPI,163805
900167,5001,1,255,Credit,ATM,11434
900168,5058,9,136,Credit,Card,66279
900169,5094,10,338,Credit,Salary,137265
900170,5094,8,203,Credit,Cash,112800
900171,5019,4,150,Credit,ATM,137871
900172,5010,1,288,Credit,IMPS,113852
900173,5025,4,100,Debit,Salary,91777
900174,5042,5,258,Debit,UPI,23945
900175,5042,9,109,Debit,Cash,43247
900176,5057,9,72,Debit,NEFT,124976
900177,5035,10,172,Debit,NEFT,24943
900178,5036,7,98,Debit,UPI,42180
900179,5034,3,232,Credit,NEFT,49920
900180,5093,2,5,Credit,Salary,129689
900181,5062,9,263,Credit,ATM,115721
900182,5081,10,296,Debit,UPI,155982
900183,5010,6,164,Credit,Card,125477
900184,5015,10,326,Debit,IMPS,64974
900185,5056,1,358,Debit,UPI,187233
900186,5051,9,271,Credit,IMPS,14846
900187,5094,7,365,Credit,ATM,75983
900188,5099,4,355,Credit,ATM,22852
900189,5034,2,162,Credit,Cash,11327
900190,5062,1,198,Credit,IMPS,103416
900191,5001,5,338,Credit,Card,59877
900192,5055,3,295,Credit,IMPS,135472
900193,5066,9,312,Credit,UPI,115898
900194,5069,8,307,Debit,Salary,51491
900195,5093,10,42,Credit,Card,163301
900196,5009,9,95,Credit,Salary,32070
900197,5072,10,302,Debit,Card,83622
900198,5014,5,219,Credit,ATM,134649
900199,5100,3,259,Debit,Card,117220
900200,5007,10,187,Credit,Cash,130911
900201,5069,5,155,Debit,Cash,161805
900202,5094,4,253,Debit,Card,4776
900203,5060,9,27,Credit,Cash,22352
900204,5024,9,103,Credit,Cash,105420
900205,5030,2,60,Credit,Card,151569
900206,5032,7,193,Credit,Cash,17275
900207,5021,7,126,Debit,IMPS,170856
900208,5088,7,327,Credit,UPI,189517
900209,5083,3,72,Debit,Salary,168631
900210,5056,5,199,Debit,ATM,30120
900211,5074,10,146,Debit,Salary,144716
900212,5007,9,47,Credit,ATM,43079
900213,5068,4,108,Credit,Cash,14002
900214,5083,4,219,Credit,IMPS,82458
900215,5054,7,187,Credit,NEFT,180826
900216,5039,5,81,Credit,IMPS,49900
900217,5023,3,23,Debit,UPI,152896
900218,5072,9,43,Credit,IMPS,16890
900219,5062,4,236,Credit,NEFT,272
900220,5060,3,106,Credit,Cash,32618
900221,5017,10,102,Debit,ATM,28028
900222,5092,4,346,Debit,ATM,96023
900223,5025,5,207,Debit,ATM,57460
900224,5035,9,8,Credit,UPI,33957
900225,5006,2,315,Debit,ATM,153976
900226,5064,7,213,Debit,UPI,123704
900227,5070,3,308,Credit,NEFT,30410
900228,5057,9,28,Credit,IMPS,122351
900229,5004,2,290,Credit,NEFT,39736
900230,5018,4,343,Debit,IMPS,54063
900231,5003,7,81,Credit,ATM,44382
900232,5012,2,160,Credit,Salary,65469
900233,5004,7,111,Credit,UPI,183731
900234,5050,6,310,Debit,UPI,47895
900235,5017,10,269,Debit,Salary,148316
900236,5027,8,181,Credit,Cash,69267
900237,5035,4,26,Debit,NEFT,155035
900238,5084,6,6,Debit,IMPS,105739
900239,5038,4,146,Debit,Card,135063
900240,5092,5,243,Debit,Card,6126
900241,5043,7,118,Credit,UPI,62114
900242,5097,7,304,Credit,Card,151887
900243,5077,3,141,Debit,Card,190244
900244,5093,7,109,Credit,IMPS,38275
900245,5063,4,238,Debit,Cash,125036
900246,5099,7,362,Credit,Cash,5145
900247,5091,1,140,Credit,Cash,177781
900248,5025,6,20,Credit,Card,10114
900249,5099,10,4,Debit,Salary,170411
900250,5085,8,175,Credit,Card,174749
900251,5051,8,11,Debit,UPI,54429
900252,5057,3,165,Debit,Cash,52307
900253,5001,6,328,Debit,Card,195683
900254,5060,10,350,Credit,Cash,64505
900255,5027,2,363,Debit,IMPS,129162
900256,5060,8,102,Credit,ATM,34334
900257,5064,10,46,Credit,ATM,25880
900258,5071,8,42,Debit,Card,94566
900259,5044,2,2,Debit,UPI,92110
900260,5057,1,233,Debit,Card,138914
900261,5047,4,69,Credit,UPI,13431
900262,5077,2,13,Credit,Cash,53946
900263,5014,10,285,Debit,Cash,114010
900264,5062,2,6,Debit,Salary,189448
900265,5036,6,287,Debit,Cash,44418
900266,5069,8,304,Credit,IMPS,51756
900267,5072,9,310,Debit,Salary,107503
900268,5060,5,273,Credit,NEFT,59518
900269,5003,10,119,Credit,Card,51654
900270,5083,6,174,Debit,Salary,11763
900271,5044,7,5,Credit,NEFT,18925
900272,5068,10,280,Debit,NEFT,5232
900273,5068,9,215,Credit,Salary,21373
900274,5032,8,305,Debit,Salary,193349
900275,5059,4,77,Credit,UPI,50140
900276,5062,6,58,Debit,Cash,94262
900277,5006,6,136,Debit,IMPS,126840
900278,5010,6,2,Debit,ATM,27248
900279,5064,10,319,Debit,NEFT,47122
900280,5077,6,40,Debit,UPI,63717
900281,5024,9,167,Credit,ATM,123307
900282,5033,3,284,Credit,IMPS,118220
900283,5005,1,212,Credit,Cash,142067
900284,5031,4,147,Credit,ATM,84734
900285,5089,3,69,Credit,Card,53672
900286,5044,10,295,Credit,IMPS,90215
900287,5093,4,186,Debit,IMPS,109678
900288,5035,6,262,Debit,Cash,66887
900289,5063,8,9,Credit,ATM,32277
900290,5001,9,88,Credit,Card,108807
900291,5011,4,123,Credit,ATM,43961
900292,5080,9,317,Debit,Salary,39548
900293,5019,4,183,Credit,Card,34149
900294,5014,7,172,Debit,Cash,8341
900295,5038,10,115,Credit,Salary,72475
900296,5062,2,138,Credit,Cash,9662
900297,5093,7,282,Credit,Card,103463
900298,5062,5,106,Debit,Card,184655
900299,5076,9,263,Credit,Cash,151854
900300,5041,4,183,Debit,Cash,16702
900301,5057,4,177,Credit,UPI,62317
900302,5058,9,317,Credit,IMPS,153067
900303,5037,3,336,Debit,NEFT,178028
900304,5055,8,72,Debit,UPI,127501
900305,5051,3,257,Credit,ATM,84475
900306,5041,2,155,Credit,Card,173227
900307,5018,2,189,Credit,Salary,132294
900308,5020,9,39,Credit,UPI,157887
900309,5099,4,101,Debit,UPI,79945
900310,5017,10,256,Credit,UPI,129383
900311,5078,3,226,Debit,Salary,39642
900312,5026,2,242,Credit,UPI,52891
900313,5062,3,144,Debit,ATM,36717
900314,5026,6,25,Credit,UPI,166186
900315,5089,10,63,Credit,Cash,46538
900316,5014,9,266,Debit,ATM,61977
900317,5019,5,335,Credit,Card,36541
900318,5063,10,263,Debit,IMPS,124127
900319,5017,10,294,Debit,Salary,174606
900320,5067,1,219,Credit,NEFT,150316
900321,5034,6,240,Credit,Card,44994
900322,5098,5,26,Credit,UPI,2006
900323,5081,7,279,Debit,Salary,122257
900324,5045,7,33,Credit,IMPS,98796
900325,5027,7,27,Credit,UPI,59658
900326,5083,3,306,Credit,NEFT,94293
900327,5021,7,31,Credit,IMPS,21633
900328,5074,5,150,Debit,Cash,20290
900329,5055,7,163,Credit,Cash,90671
900330,5074,4,281,Credit,Card,170655
900331,5064,4,105,Credit,NEFT,180664
900332,5026,2,306,Debit,Salary,93523
900333,5059,4,3,Credit,NEFT,16756
900334,5092,4,259,Credit,ATM,48712
900335,5087,4,333,Debit,NEFT,65439
900336,5033,3,148,Debit,Card,91624
900337,5039,4,166,Debit,Salary,81698
900338,5003,4,138,Credit,Card,46973
900339,5026,6,158,Debit,Card,193626
900340,5009,3,160,Debit,ATM,111928
900341,5085,8,184,Credit,Salary,89336
900342,5011,10,189,Debit,Card,103679
900343,5077,3,138,Debit,Salary,168905
900344,5005,9,284,Credit,NEFT,90574
900345,5082,3,65,Credit,ATM,166990
900346,5072,3,335,Debit,Cash,28365
900347,5063,2,280,Debit,Cash,162487
900348,5059,2,115,Debit,NEFT,196256
900349,5010,1,148,Debit,Card,87458
900350,5076,6,14,Credit,ATM,88340
900351,5079,5,149,Credit,Cash,68993
900352,5050,5,253,Credit,ATM,23574
900353,5042,7,321,Debit,NEFT,42769
900354,5043,3,342,Debit,UPI,51518
900355,5049,5,300,Credit,UPI,40095
900356,5002,1,50,Debit,Card,974
900357,5074,7,256,Credit,IMPS,90997
900358,5075,7,108,Debit,Card,122126
900359,5029,5,186,Debit,Salary,181663
900360,5043,8,115,Debit,Cash,137833
900361,5019,4,308,Debit,NEFT,185843
900362,5083,1,94,Debit,ATM,32860
900363,5057,6,237,Debit,Salary,57175
900364,5015,4,4,Credit,Salary,99557
900365,5088,9,69,Debit,ATM,94615
900366,5074,7,188,Debit,UPI,35480
900367,5087,5,115,Debit,UPI,183872
900368,5077,6,165,Debit,NEFT,196213
900369,5047,2,61,Debit,ATM,94836
900370,5049,7,175,Debit,NEFT,35286
900371,5050,10,103,Credit,Salary,182214
900372,5028,1,274,Credit,Salary,185662
900373,5098,4,224,Debit,IMPS,46561
900374,5078,9,83,Credit,NEFT,68010
900375,5042,8,186,Debit,UPI,43349
900376,5030,5,125,Credit,UPI,90450
900377,5080,5,96,Credit,Cash,29116
900378,5055,7,120,Credit,NEFT,17828
900379,5016,4,6,Debit,ATM,96661
900380,5066,3,205,Credit,Card,105972
900381,5097,1,144,Credit,UPI,163631
900382,5081,8,252,Debit,ATM,117421
900383,5043,9,42,Credit,Card,8725
900384,5011,5,236,Debit,Card,116564
900385,5081,8,276,Credit,ATM,7070
900386,5097,6,288,Credit,UPI,85392
900387,5044,9,316,Debit,IMPS,91798
900388,5095,4,285,Debit,Cash,112624
900389,5037,8,42,Credit,ATM,10423
900390,5074,1,88,Debit,Cash,145870
900391,5033,7,17,Credit,Salary,177747
900392,5002,3,332,Credit,IMPS,122724
900393,5054,7,152,Credit,IMPS,149221
900394,5033,2,223,Debit,NEFT,58680
900395,5026,4,242,Credit,Cash,180178
900396,5096,3,272,Debit,ATM,153094
900397,5071,1,356,Debit,Salary,134702
900398,5034,6,68,Credit,UPI,24151
900399,5025,6,206,Credit,NEFT,186288
900400,5057,4,175,Credit,IMPS,155815
900401,5095,2,205,Debit,NEFT,188649
900402,5084,6,127,Credit,Salary,148727
900403,5090,1,202,Credit,UPI,36435
900404,5040,5,117,Debit,Cash,181716
900405,5061,1,111,Credit,IMPS,14059
900406,5021,4,250,Credit,UPI,169847
900407,5082,8,284,Credit,UPI,34604
900408,5007,7,73,Credit,Cash,129369
900409,5024,6,77,Debit,UPI,22253
900410,5033,7,100,Credit,NEFT,177171
900411,5068,7,294,Debit,IMPS,85290
900412,5050,5,68,Credit,Cash,80565
900413,5052,6,219,Debit,NEFT,137838
900414,5095,1,156,Credit,IMPS,118930
900415,5071,9,218,Credit,ATM,65914
900416,5068,9,361,Debit,NEFT,127811
900417,5030,3,337,Debit,NEFT,181348
900418,5044,5,106,Credit,Card,39285
900419,5078,3,6,Credit,NEFT,101399
900420,5023,10,6,Debit,IMPS,29237
900421,5077,6,138,Credit,NEFT,57484
900422,5003,9,140,Debit,NEFT,195362
900423,5081,1,196,Debit,Salary,132854
900424,5048,4,153,Debit,ATM,143202
900425,5021,7,193,Debit,Card,133596
900426,5065,9,87,Debit,ATM,120328
900427,5092,3,93,Credit,ATM,20448
900428,5073,5,251,Debit,IMPS,153214
900429,5044,4,46,Credit,Cash,73124
900430,5100,7,299,Debit,IMPS,197258
900431,5098,9,156,Debit,Salary,74535
900432,5040,8,325,Debit,IMPS,118200
900433,5037,1,354,Credit,Salary,148652
900434,5038,9,310,Debit,Card,199250
900435,5024,2,282,Debit,Cash,91699
900436,5096,10,160,Debit,Card,158953
900437,5019,2,316,Credit,IMPS,123589
900438,5067,1,50,Debit,Cash,111424
900439,5040,4,319,Credit,UPI,121211
900440,5016,4,266,Debit,IMPS,71005
900441,5059,7,39,Debit,IMPS,144793
900442,5080,7,61,Debit,UPI,51896
900443,5021,5,260,Debit,Cash,175558
900444,5041,3,268,Debit,Card,86537
900445,5017,3,99,Debit,Card,55918
900446,5071,1,268,Credit,UPI,198535
900447,5052,4,17,Credit,Cash,105552
900448,5052,5,96,Debit,UPI,57557
900449,5056,6,277,Credit,ATM,5569
900450,5096,1,364,Debit,Cash,8671
900451,5080,7,151,Credit,ATM,45228
900452,5034,7,175,Debit,NEFT,129532
900453,5003,3,358,Credit,NEFT,65152
900454,5059,1,168,Debit,Salary,176643
900455,5087,10,16,Debit,Salary,47075
900456,5034,5,334,Credit,Card,65213
900457,5077,4,256,Debit,UPI,50255
900458,5047,8,125,Debit,NEFT,115663
900459,5086,7,11,Credit,IMPS,12943
900460,5043,10,51,Credit,IMPS,1065
900461,5062,10,64,Credit,Cash,170446
900462,5031,6,361,Debit,Cash,1153
900463,5038,2,101,Debit,ATM,114286
900464,5007,1,322,Credit,ATM,171343
900465,5081,3,189,Debit,ATM,47892
900466,5068,7,185,Credit,Card,61194
900467,5069,10,68,Debit,Salary,78761
900468,5053,8,272,Credit,Card,46517
900469,5047,3,361,Credit,Salary,102512
900470,5086,2,87,Credit,IMPS,51885
900471,5097,1,179,Debit,Cash,20444
900472,5050,7,114,Debit,Salary,170641
900473,5001,6,358,Credit,NEFT,150957
900474,5028,3,9,Debit,UPI,172677
900475,5043,1,194,Credit,ATM,85531
900476,5009,7,268,Debit,Card,30231
900477,5059,9,117,Debit,ATM,93187
900478,5067,8,73,Credit,UPI,84563
900479,5085,6,161,Debit,Salary,192408
900480,5025,5,312,Debit,IMPS,23980
900481,5092,9,315,Credit,Cash,169291
900482,5098,7,217,Debit,Cash,24416
900483,5021,5,232,Debit,ATM,67719
900484,5049,3,30,Credit,IMPS,138774
900485,5009,2,67,Credit,ATM,24394
900486,5091,4,4,Debit,Salary,88406
900487,5095,5,98,Debit,Card,113065
900488,5076,7,106,Credit,ATM,163451
900489,5079,2,191,Debit,UPI,111227
900490,5088,7,25,Credit,NEFT,129196
900491,5060,3,105,Debit,IMPS,14275
900492,5044,3,102,Debit,UPI,51464
900493,5003,9,188,Debit,NEFT,105405
900494,5013,4,85,Debit,Card,86916
900495,5063,1,276,Credit,Cash,2354
900496,5001,10,147,Credit,UPI,9788
900497,5030,1,25,Credit,Card,81509
900498,5082,9,65,Debit,UPI,103532
900499,5042,7,352,Credit,Cash,118863
900500,5015,8,282,Debit,Card,10941
900501,5017,5,346,Credit,IMPS,190467
900502,5022,10,351,Credit,Cash,28555
900503,5042,3,272,Debit,Card,170132
900504,5037,7,365,Debit,Card,155276
900505,5047,4,123,Credit,Card,147081
900506,5026,9,205,Credit,NEFT,151741
900507,5083,5,56,Debit,UPI,29472
900508,5024,8,21,Credit,Card,112753
900509,5078,10,220,Credit,IMPS,81175
900510,5097,1,89,Credit,Salary,62199
900511,5066,9,36,Credit,Card,185795
900512,5078,3,86,Debit,UPI,23853
900513,5066,8,227,Credit,Cash,168456
900514,5096,8,212,Debit,ATM,93645
900515,5056,9,8,Debit,IMPS,133199
900516,5009,6,54,Debit,Cash,6364
900517,5015,1,159,Credit,NEFT,10061
900518,5011,7,150,Credit,Salary,41958
900519,5057,4,236,Credit,Salary,89580
900520,5098,8,90,Credit,IMPS,161719
900521,5006,2,90,Debit,Salary,140923
900522,5019,9,108,Debit,UPI,66134
900523,5054,2,301,Credit,Card,87543
900524,5054,1,188,Debit,Card,190720
900525,5063,7,260,Debit,NEFT,32056
900526,5001,3,83,Credit,Salary,63210
900527,5082,8,247,Debit,NEFT,164450
900528,5043,10,29,Debit,UPI,137773
900529,5007,6,304,Debit,Salary,189495
900530,5002,8,261,Credit,ATM,165212
900531,5075,4,105,Debit,Card,174589
900532,5047,4,141,Credit,Cash,8372
900533,5026,3,153,Debit,UPI,196324
900534,5036,3,305,Debit,IMPS,29402
900535,5061,5,123,Credit,Salary,149858
900536,5008,6,131,Debit,Salary,51921
900537,5049,8,19,Debit,Cash,33846
900538,5038,5,269,Debit,NEFT,149948
900539,5052,6,313,Credit,Salary,179551
900540,5084,6,356,Debit,Salary,85340
900541,5056,1,330,Credit,ATM,99381
900542,5025,4,221,Debit,NEFT,190233
900543,5002,3,223,Debit,NEFT,63463
900544,5030,7,72,Credit,IMPS,624
900545,5049,6,240,Debit,NEFT,67939
900546,5016,7,56,Credit,IMPS,194794
900547,5037,9,133,Debit,IMPS,49570
900548,5048,9,190,Credit,UPI,130054
900549,5041,3,351,Debit,IMPS,110942
900550,5091,1,28,Debit,Cash,59637
900551,5064,9,241,Debit,Cash,20686
900552,5027,6,315,Debit,NEFT,71290
900553,5064,2,194,Credit,Card,106194
900554,5001,7,90,Credit,UPI,16691
900555,5015,5,246,Credit,Cash,33011
900556,5011,1,134,Debit,Card,116404
900557,5072,2,89,Credit,IMPS,6567
900558,5095,7,42,Credit,UPI,74673
900559,5078,6,63,Credit,Card,18335
900560,5096,9,61,Credit,Card,196800
900561,5064,4,302,Credit,ATM,146766
900562,5038,10,234,Debit,UPI,12648
900563,5034,6,141,Credit,IMPS,41619
900564,5070,10,334,Debit,Card,96658
900565,5078,2,287,Credit,NEFT,151597
900566,5041,3,261,Credit,IMPS,35232
900567,5033,7,353,Credit,NEFT,165530
900568,5013,4,42,Credit,Card,140015
900569,5029,5,331,Credit,NEFT,682
900570,5024,8,69,Debit,NEFT,198476
900571,5047,3,36,Credit,IMPS,181226
900572,5055,3,39,Credit,IMPS,198532
900573,5098,2,337,Debit,ATM,79269
900574,5081,2,191,Debit,Card,186645
900575,5022,4,281,Credit,NEFT,106256
900576,5081,10,278,Debit,Salary,157586
900577,5087,7,142,Credit,NEFT,60130
900578,5070,3,134,Credit,Card,172632
900579,5029,8,155,Debit,UPI,154496
900580,5091,8,149,Credit,Card,72023
900581,5021,5,17,Credit,IMPS,71150
900582,5057,5,91,Credit,Salary,109411
900583,5087,5,35,Debit,Cash,113158
900584,5035,8,22,Credit,UPI,97052
900585,5036,10,182,Credit,Cash,112403
900586,5048,6,121,Debit,ATM,197922
900587,5089,8,332,Debit,Card,162933
900588,5018,6,74,Debit,NEFT,107480
900589,5067,5,158,Credit,Cash,174507
900590,5006,8,25,Credit,IMPS,105228
900591,5080,1,234,Credit,ATM,47561
900592,5067,9,165,Debit,NEFT,33644
900593,5035,4,44,Credit,Card,127107
900594,5039,5,335,Debit,UPI,25316
900595,5029,6,262,Credit,UPI,121693
900596,5094,8,256,Debit,Cash,47622
900597,5014,2,171,Credit,Card,73919
900598,5011,2,164,Credit,ATM,155239
900599,5022,9,15,Credit,Cash,34440
900600,5002,3,208,Debit,Cash,57385
900601,5095,2,289,Credit,Salary,189567
900602,5065,4,244,Debit,IMPS,133195
900603,5064,8,167,Credit,Cash,40276
900604,5037,10,179,Credit,ATM,24069
900605,5036,1,192,Credit,Cash,117838
900606,5086,9,227,Credit,Cash,193469
900607,5062,8,295,Debit,Salary,132709
900608,5059,4,45,Debit,Salary,65732
900609,5055,2,210,Credit,ATM,171746
900610,5058,8,208,Credit,NEFT,69172
900611,5078,1,167,Credit,IMPS,191395
900612,5079,5,42,Debit,Cash,12005
900613,5013,1,259,Debit,Card,5603
900614,5078,1,175,Credit,Cash,123002
900615,5005,10,66,Debit,IMPS,137965
900616,5001,5,344,Credit,IMPS,12588
900617,5099,4,15,Debit,UPI,152682
900618,5078,8,351,Debit,IMPS,161207
900619,5089,3,66,Credit,Cash,40431
900620,5027,8,35,Credit,NEFT,10250
900621,5044,5,135,Credit,IMPS,135068
900622,5079,9,68,Debit,ATM,149914
900623,5045,6,351,Debit,Salary,6387
900624,5033,7,240,Debit,UPI,53098
900625,5021,8,86,Debit,NEFT,58698
900626,5097,7,83,Debit,IMPS,135720
900627,5048,2,94,Credit,UPI,72782
900628,5024,7,108,Debit,ATM,46978
900629,5032,7,165,Debit,ATM,108431
900630,5029,3,342,Credit,Salary,36869
900631,5008,5,14,Debit,UPI,150292
900632,5047,8,236,Debit,ATM,26161
900633,5060,4,229,Credit,Card,135026
900634,5065,2,98,Credit,Cash,12024
900635,5052,5,68,Debit,NEFT,156792
900636,5078,9,222,Debit,IMPS,66385
900637,5072,3,145,Debit,NEFT,43476
900638,5046,6,136,Debit,Cash,166936
900639,5002,3,24,Credit,ATM,101036
900640,5032,5,263,Credit,Cash,17092
900641,5082,7,37,Debit,Cash,36094
900642,5077,6,342,Credit,Salary,46939
900643,5092,9,278,Debit,Card,154414
900644,5029,9,213,Debit,Cash,135522
900645,5088,1,50,Debit,IMPS,194829
900646,5092,3,45,Credit,Salary,46212
900647,5089,5,301,Debit,UPI,51457
900648,5064,8,172,Debit,Card,68146
900649,5071,1,327,Debit,NEFT,60346
900650,5081,2,167,Credit,ATM,123526
900651,5014,1,36,Debit,Cash,163546
900652,5078,1,128,Credit,NEFT,31460
900653,5016,6,240,Debit,Cash,92388
900654,5021,5,234,Credit,IMPS,63749
900655,5002,10,281,Debit,IMPS,114309
900656,5096,9,314,Debit,Cash,196400
900657,5020,10,316,Credit,NEFT,66467
900658,5024,6,286,Credit,Salary,19889
900659,5078,8,146,Debit,Salary,168033
